description,keyword,link,rank,title
"The United States of America (USA), commonly known as the United States (U.S.) or America, is a federal republic composed of 50 states, a federal district, five major self-governing territories, and various possessions. At 3.8 million square miles (9.8 million km2) and with over 325 million people, the United States is the ...",usa,https://en.wikipedia.org/wiki/United_States,1,United States - Wikipedia
,usa,/destination?q=usa&hl=en&dcr=0&site=search&output=search&dest_mid=/m/09b1k&sa=X&ved=0ahUKEwjl_sv6qOHZAhVFpo8KHZIKArQQ69EBCEwoADAE,2,Things to do in United States of America
,usa,/destination?q=usa&hl=en&dcr=0&site=search&output=search&dest_mid=/m/09b1k&sa=X&ved=0ahUKEwjl_sv6qOHZAhVFpo8KHZIKArQQ69EBCEwoADAE,3,Things to do in United States of America
,usa,https://twitter.com/USATODAY?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,4,USA TODAY (@USATODAY) · Twitter
"The United States of America (USA), often called the United States (U.S.) or America, is the second largest country in North America. It is made up of 50 states, a federal district, and five territories. It has great influence over world finance, trade, culture, military, politics, and technology.",usa,https://simple.wikipedia.org/wiki/United_States,5,"United States - Simple English Wikipedia, the free encyclopedia"
"6 days ago - United States, officially United States of America, abbreviated U.S. or U.S.A., byname America, country in North America, a federal republic of 50 states. Besides the 48 conterminous states that occupy the middle latitudes of the continent, the United States includes the state of Alaska, at the northwestern ...",usa,https://www.britannica.com/place/United-States,6,"United States | History, Map, Flag, & Population | Britannica.com"
VisitTheUSA is the USA official guide for traveling the United States of America. Discover here all the information you need for your American holidays.,usa,https://www.gousa.in/,7,Visit The USA: Guide To USA Holidays & Travel Around America
"The United States of America is a large country in North America, often referred to as ""the USA"", ""the U.S."", ""the United States"", ""the United States of America"", ""the States"", or simply ""America"". Home to the world's third-largest population, with over 318 million people, it includes both densely populated cities with sprawling ...",usa,https://wikitravel.org/en/United_States_of_America,8,United States of America - Wikitravel
Have a question about the USA? Learn where to find answers to the most requested facts about the United States of America.,usa,https://www.usa.gov/about-the-us,9,About the United States | USAGov
"Explore USA holidays and discover the best time and places to visit. | The great American experience is about so many things: bluegrass and beaches, snow-covered peaks and redwood forests, restaurant-loving cities and big open skies.",usa,https://www.lonelyplanet.com/usa,10,USA travel - Lonely Planet
,usa tourism,/destination?q=usa+tourism&hl=en&dcr=0&site=search&output=search&dest_mid=/m/09c7w0&sa=X&ved=0ahUKEwiIiPb7qOHZAhXKKY8KHal_DQAQ7NEBCC8oADAA,1,United States of America/Popular destinations
,usa tourism,/destination?q=usa+tourism&hl=en&dcr=0&site=search&output=search&dest_mid=/m/09c7w0&sa=X&ved=0ahUKEwiIiPb7qOHZAhXKKY8KHal_DQAQ7NEBCC8oADAA,2,United States of America/Popular destinations
VisitTheUSA is the USA official guide for traveling the United States of America. Discover here all the information you need for your American holidays.,usa tourism,https://www.gousa.in/,3,Visit The USA: Guide To USA Holidays & Travel Around America
"Tourism in the United States is a large industry that serves millions of international and domestic tourists yearly. Tourists visit the US to see natural wonders, cities, historic landmarks, and entertainment venues. Americans seek similar attractions, as well as recreation and vacation areas. Tourism in the United States grew ...",usa tourism,https://en.wikipedia.org/wiki/Tourism_in_the_United_States,4,Tourism in the United States - Wikipedia
"USA Tourism - Get complete information about popular tourist destinations in USA, must visit places in USA, USA tourism packages, best time to visit, map, events, USA culture and food, best attractions in USA, activities and nightlife in USA.",usa tourism,https://www.yatra.com/international-tourism/usa,5,"USA Tourism, Tourist Places in USA, USA Tour and Travel Guide - Yatra"
"United States Tourism: TripAdvisor has 7,08,43277 reviews of United States Hotels, Attractions, and Restaurants making it your best United States Tourism resource.",usa tourism,https://www.tripadvisor.in/Tourism-g191-United_States-Vacations.html,6,United States Tourism (2018): Best of United States - TripAdvisor
Winter Park Colorado is a vacation destination favored by Colorado residents and less known to outside tourists. Winter Park and its neighboring community of Frasier have the appearance of a small mountain village with some elements of a cowboy town and some elements of a ski resort. The high-mountain Frasier Valley ...,usa tourism,http://www.usatourist.com/english/index.html,7,"USA Travel and Tourism Guide, Tourist Attractions, Destinations"
"Last updated on January 26, 2018 in USA 18 Comments. As one of the largest and most diverse countries in the world, The United States boast an amazing amount of tourist destinations ranging from the skyscrapers of New York and Chicago, the natural wonders of Yellowstone and Alaska to the sunny beaches of ...",usa tourism,http://www.touropia.com/tourist-attractions-in-the-usa/,8,25 Top Tourist Attractions in the USA (with Photos & Map) - Touropia
"Foreign travelers to the United States for short visits, for example tourism, vacation, visiting family and friends, or medical treatment, need visitor visas unless they qualify for entry under the Visa Waiver Program.",usa tourism,https://travel.state.gov/content/travel/en/us-visas/tourism-visit.html,9,Tourism & Visit - Travel.gov - US Department of State
"VISIT USA 2016 - official travel and tourism links for the 50 US states, plus city tourism links and more - for travel to visit USA and America see VISIT-USA.com.",usa tourism,http://www.visit-usa.com/,10,VISIT USA 2017 - all 50 official US State Tourism & Travel websites ...
